,name,connected_component
4094,Tennent's Beer Aged with Whisky Oak ,
4107,Waldhonig,
4127,Spur : jus d'orange & banane,
4137,Les Délices de Belle France : Papillons,
4139,Betty Bossi : Kakaopulver,
4141,Ahornsirup,
4144,APERTO Fruit Juice Blood Orange,
4147,CRISTALP,
4152,ALNATURA – Chia Samen,
4166,Coop Pro Montagna Berg-Vollmilch aus den Fribouger Voralpen,
4176,,
4177,Coop Naturaplan Vollmilch,
4190,"Cristalp, eau minérale naturelle",
4196,Reiner Puderzucker,
4198,Valflora Drink,
4199,Die Butter : aus Pasteurisiertem Rahm,
4205,Valflora coffee cream,
4211,Coffee cream,
4213,Elmer : citro,
4218,naturaplan AGAVENSIRUP bio,
4229,VALSER : SILENCE,
4232,Linsen getrocknet,
4235,Belle France : Riz long Thaï,
4239,Lou mas : Huile de tournesol,
4247,Blütenhonig BIO,
4254,M CLASSIC : Müschell,
4257,Naturaplan : Roggenschrotmehl,
4262,Bio black pepper,
4266,COOP Qualité Prix Kardamom,
4275,MIGROS BIO Rauchlachs geschnitten,
4278, Boletus,
4284,COOP naturaplan bio Bohnenkraut ,
4285,Mattinella : Reiner Orangensaft,
4294,Agnesi : Gli Spaghetti N.3,
4317,,
4338,"Zwiebel, getrocknet und granuliert",
4340,Coop - Naturaplan - Sesamöl,
4343,Weissmehl,
4350,Duru Hartweizengrütze Grob,
4352,Belfina : Extra Saindoux,
4361,Meersalz : grobkörnig,
4369,Valflora SAUERRAHM,
4376,Naturaplan : Dinkelmehl,
4381,,
4383,Sesam : ungeschält,
4385,Bio Basmati Reis,
4392,Tomaten passiert,
4394,Koch-Schokolade ,
4397,Tipiak : couscous,
4399,Spanisches Olivenöl,
4411,Naturaplan : bio Confi-Vite : Geliermittel aus Apfelpektin,
4422,Naturaplan : Vollkorn Haferflocke : grob,
4425,Quinoapops : Knusprig gepuffter Quinoa,
4426,Naturaplan bio: Reispops,
4428,Pinienkerne,
4429,Hirseflocken,
4430,Dinkelflocken,
4434,Primeal : Spliterwten,
4439,Naturaplan : Rohrohrzucker,
4444,Rohrzucker-Sticks,
4460,Wildkaffee : Kaffa Forest Ethiopia : Gemahlen,
4462,Fruchtzucker,
4468,Sunny Day : Quinoa,
4471,"naturaplan bio: Bramata, Maisgriess grob",
4487,Toblerone,
4490,Orangen 100% pure juice,
4496,Cacarola : Black Beans,
4498,Prix Garantie: Mandeln gemahlen,
4503,naturaplan: Bio Kochbutter,
4505,Betty Bossi : Feinster Zucker,
4521,Prix Garantie: Baumanusste häften  ,
4523,naturaplan bio: Tomatenpüree,
4526,COOP Qualité Prix Senfkorner gelb,
4529,Kandiszucker : karamellisierter Zucker,
